NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;IDADE;TP_SEXO;ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;IN_TP_ENSINO;TP_COR_RACA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NU_NOTA_REDACAO;Q003
140000000804;2014;FORTALEZA;CE;23;F;1;2010;1;1;2;512.9;643;611.9;509.6;700;B
140000000805;2014;RIO GRANDE;RS;29;F;1;2004;1;1;1;378.6;537.3;543.2;379.7;440;C
140000000806;2014;BELEM;PA;26;F;1;2005;2;1;2;551.7;652;657.5;643.3;820;C
140000000807;2014;RESENDE;RJ;23;M;1;2008;1;1;3;589.1;598.8;571.5;598.8;640;G
140000000808;2014;ARACAJU;SE;22;M;1;2010;2;2;3;427.9;553.1;;;0;E
140000000809;2014;SALVADOR;BA;19;F;4;;;;3;511;445.5;589;430.4;480;K
140000000810;2014;BELFORD ROXO;RJ;25;F;1;2008;1;2;2;427.3;564.7;513.5;496.5;500;C
140000000811;2014;SALVADOR;BA;31;F;1;2004;1;1;3;524.2;561.4;482.6;376.7;500;B
140000000812;2014;RIO DE JANEIRO;RJ;17;F;2;;2;1;1;544.9;582.5;589.2;504.2;720;J
140000000813;2014;PALMAS;TO;29;M;1;2004;1;1;3;;;;;0;K
140000000814;2014;ARACAJU;SE;17;M;2;;1;1;2;568.7;612.1;595;576;680;B
140000000815;2014;CUIABA;MT;30;F;1;2007;1;2;3;453.7;545.2;516.1;430.1;460;D
140000000816;2014;PALMAS;TO;28;F;1;2004;1;1;3;;;;;0;C
140000000817;2014;FORTALEZA;CE;41;F;1;2004;1;1;1;534.9;589.3;515.6;414.1;500;B
140000000818;2014;TERESINA;PI;35;F;1;2004;2;1;3;;;;;0;G
140000000819;2014;SETE LAGOAS;MG;20;F;1;2012;1;1;3;376;467.4;370.9;413.1;400;G
140000000820;2014;CAMPO GRANDE;MS;21;F;1;2011;1;1;3;;;594.9;492.8;580;D
140000000821;2014;SAO GONCALO;RJ;19;F;1;2013;1;1;3;599.4;621.9;558;496;520;B
140000000822;2014;BRASILIA;DF;23;M;1;2010;1;1;3;456.8;577.2;544.6;461.3;640;D
140000000823;2014;PAULISTA;PE;17;F;2;;1;1;1;527.2;581;568.4;432.2;620;D
140000000824;2014;CANOAS;RS;26;F;1;2010;1;2;1;351;541.3;430.3;393.2;320;D
140000000825;2014;SALVADOR;BA;21;M;1;2012;1;1;3;;;;;0;C
140000000826;2014;SAO LUIS;MA;29;F;1;2004;1;1;3;532.2;594.7;422.4;410;540;F
140000000827;2014;BELEM;PA;36;M;1;2004;1;1;3;;;;;0;B
140000000828;2014;FEIRA DE SANTANA;BA;20;M;4;;;;1;424;500.1;498.8;444.5;480;C
140000000829;2014;MANAUS;AM;36;M;1;2004;1;1;1;594.8;600.3;530.5;605.5;500;D
140000000830;2014;SALTO;SP;22;M;1;2009;1;1;1;;;;;0;F
140000000831;2014;SALVADOR;BA;29;M;1;2005;1;1;2;504.5;551.1;489.5;374.7;320;C
140000000832;2014;SAO BERNARDO DO CAMPO;SP;19;M;1;2012;1;1;1;;;;;0;H
140000000833;2014;PORTO ALEGRE;RS;30;F;1;2004;1;1;1;;;;;0;H
140000000834;2014;RIO DAS OSTRAS;RJ;18;F;3;;;;3;533.7;610.4;568.2;645.7;360;D
140000000835;2014;PALMAS;TO;34;M;1;2004;2;1;3;;;;;0;D
140000000836;2014;TERESINA;PI;23;M;1;2008;2;1;3;452.1;597.9;579.7;425.6;800;G
140000000837;2014;BARUERI;SP;23;F;1;2011;1;2;2;381.9;457.9;;;0;B
140000000838;2014;RECIFE;PE;22;F;1;2009;1;1;1;;;;;0;D
